timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
8/1/2020 3:09,27.79.182.158,udp,137,localhost,netbios,00-1E-67-E0-56-B2,7552,VN,HA NOI,HANOI,WORKGROUP,MAYCHU,,517312,,Communications
8/1/2020 3:09,103.28.32.167,udp,137,,netbios,00-50-56-A3-D6-D9,135918,VN,HA NOI,HANOI,WORKGROUP,WIN18957,,0,,Communications
8/1/2020 3:09,42.117.170.249,udp,137,,netbios,E4-3A-6E-2A-61-09,18403,VN,BINH THUAN,PHAN THIET,WORKGROUP,ADMINISTRATOR,,517311,,Communications
8/1/2020 3:09,210.245.124.162,udp,137,,netbios,E4-11-5B-E6-E7-96,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-5EJL2E92051,,517311,,Communications
8/1/2020 3:09,14.241.250.168,udp,137,,netbios,74-D4-35-61-84-F7,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,MSHOME,BINHANHCM,,517311,,Communications
8/1/2020 3:09,203.162.121.68,udp,137,,netbios,B0-83-FE-C8-66-20,45899,VN,HA NOI,HANOI,NONSTANDARD,N-GPS1,,517311,,Communications
8/1/2020 3:10,118.70.185.176,udp,137,,netbios,6C-2B-59-B7-DC-07,18403,VN,HA NOI,HANOI,WORKGROUP,WIN-4NPUQE101BB,,517311,,Communications
8/1/2020 3:10,117.3.67.7,udp,137,,netbios,D8-9E-F3-28-87-43,7552,VN,DA NANG,DA NANG,WORKGROUP,KTSERVER,,517312,,Communications
8/1/2020 3:10,202.158.245.245,udp,137,,netbios,00-50-56-B1-D1-73,135918,VN,BAC GIANG,BAC GIANG,,,,0,,Communications
8/1/2020 3:10,103.149.252.18,udp,137,,netbios,00-50-56-A3-05-BF,135918,VN,DONG THAP,CAO LANH,WORKGROUP,WIN24036,,0,,Communications
8/1/2020 3:10,27.71.184.98,udp,137,localhost,netbios,D0-27-88-77-BD-CC,7552,VN,QUANG NAM,HOI AN,WORKGROUP,SV2K8-BKNET,,517312,,Communications
8/1/2020 3:10,103.142.138.107,udp,137,,netbios,00-50-56-B1-F0-5A,63731,VN,HA NOI,HANOI,WORKGROUP,DESKTOP-7GSW45M,,0,,Communications
8/1/2020 3:10,103.139.154.89,udp,137,,netbios,00-50-56-A3-B4-76,135918,VN,HA NOI,HANOI,WORKGROUP,WIN23639,,0,,Communications
8/1/2020 3:10,202.60.107.116,udp,137,,netbios,00-0C-29-E6-FB-25,24088,VN,HA NOI,HANOI,WORKGROUP,ORIONCUSTOMER,,0,,Communications
8/1/2020 3:10,112.78.3.216,udp,137,,netbios,00-1C-42-2B-E2-A4,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,,,,0,,Communications
8/1/2020 3:10,210.245.14.163,udp,137,,netbios,00-0C-29-2F-D3-24,18403,VN,HA NOI,HANOI,WORKGROUP,WIN-H8SOQLK4L54,,519130,,Communications
8/1/2020 3:10,14.162.145.109,udp,137,,netbios,40-8D-5C-FB-AF-09,45899,VN,HA NOI,HANOI,WORKGROUP,PC9,,517311,,Communications
8/1/2020 3:10,103.150.125.148,udp,137,,netbios,00-50-56-9C-97-A6,63731,VN,HA NOI,HANOI,,,,0,,Communications
8/1/2020 3:10,14.191.5.234,udp,137,static.vnpt.vn,netbios,48-5F-99-C2-91-FD,45899,VN,DA NANG,DA NANG,WORKGROUP,THANHTAM,,517311,,Communications
8/1/2020 3:10,118.69.62.140,udp,137,,netbios,48-4D-7E-BA-B6-6E,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-SKHT0P88735,,517311,,Communications
8/1/2020 3:10,103.57.210.22,udp,137,,netbios,00-50-56-BA-CB-F4,131353,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WEB,,0,,Communications
8/1/2020 3:10,113.161.73.7,udp,137,static.vnpt.vn,netbios,5C-F3-FC-2D-6A-6B,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,SRV-NP,,517311,,Communications
8/1/2020 3:10,103.143.208.33,udp,137,,netbios,DA-56-20-3A-8B-18,56150,VN,HA NOI,HANOI,WORKGROUP,PPBHNL,,0,,Communications
8/1/2020 3:10,14.182.5.91,udp,137,,netbios,00-00-00-00-00-00,45899,VN,THAI NGUYEN,THAI NGUYEN,WORKGROUP,LS410D6BC,LS410D6BC,517311,,Communications
8/1/2020 3:10,115.146.121.122,udp,137,,netbios,78-E3-B5-03-1F-F2,38732,VN,HA NOI,HANOI,WORKGROUP,WIN-46UKRSH20LB,,0,,Communications
8/1/2020 3:10,14.183.119.235,udp,137,,netbios,30-9C-23-AA-D8-84,45899,VN,CAN THO,CAN THO,WORKGROUP,DESKTOP-CVA6AEJ,,517311,,Communications
8/1/2020 3:10,103.127.195.92,udp,137,,netbios,00-50-56-8B-FE-6D,131427,VN,THAI BINH,THAI BINH,,,,0,,Communications
8/1/2020 3:10,103.149.252.54,udp,137,,netbios,00-50-56-A3-95-D2,135918,VN,DONG THAP,CAO LANH,WORKGROUP,WIN23303,,0,,Communications
