"timestamp","ip","port","hostname","asn","geo","region","city","naics","sic","product","banner"
"2020-08-01 10:33:27","123.26.179.49",5900,"static.vnpt.vn",45899,"VN","HAI DUONG","HAI DUONG",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:33:27","113.173.69.80",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:27","113.173.200.204",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Apple remote desktop vnc","RFB 003.889"
"2020-08-01 10:33:27","103.21.149.195",5900,,38732,"VN","HA NOI","HANOI",0,,"RealVNC Personal protocol 4.0","RFB 004.000"
"2020-08-01 10:33:29","27.74.244.171",5900,"localhost",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:31","118.69.66.95",5900,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:33","113.161.233.46",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:33","42.113.109.210",5900,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Personal protocol 4.0","RFB 004.000"
"2020-08-01 10:33:33","123.21.64.8",5900,,45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:33:33","45.125.205.209",5900,,45896,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:35","116.108.26.231",5900,,24086,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:33:35","14.161.38.204",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:35","113.160.133.33",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:35","113.173.89.216",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:33:35","222.252.6.146",5900,"static.vnpt-hanoi.com.vn",45899,"VN","HA NOI","HANOI",517311,,"VNC protocol 3.6","RFB 003.006"
"2020-08-01 10:33:37","123.19.128.26",5900,,45899,"VN","KHANH HOA","NHA TRANG",517311,,"VNC protocol 3.3 (locked out)","RFB 003.003|Too many security failures"
"2020-08-01 10:33:37","117.2.144.48",5900,"localhost",7552,"VN","HA NOI","HANOI",517312,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:33:38","14.179.51.55",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:33:38","113.161.244.91",5900,"static.vnpt.vn",45899,"VN","LONG AN","BEN LUC",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:38","171.231.199.31",5900,"dynamic-ip-adsl.viettel.vn",7552,"VN","HA NOI","HANOI",517312,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:39","118.69.70.75",5900,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:40","113.161.76.33",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:40","115.84.179.43",5900,,38731,"VN","HA NOI","HANOI",0,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:40","113.163.216.49",5900,"static.vnpt.vn",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:41","113.163.94.65",5900,"static.vnpt.vn",45899,"VN","BEN TRE","BEN TRE",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:42","118.70.104.188",5900,,18403,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:42","171.236.158.77",5900,"dynamic-ip-adsl.viettel.vn",7552,"VN","HAI PHONG","HAI PHONG",517312,,"RealVNC Personal protocol 4.0","RFB 004.000"
"2020-08-01 10:33:42","14.234.129.69",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:44","113.161.34.215",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:44","202.151.161.153",5900,"c161.static.153.netnam.vn",24173,"VN","HA NOI","HANOI",0,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:44","222.252.11.216",5900,"static.vnpt-hanoi.com.vn",45899,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:44","118.70.104.164",5900,,18403,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:46","113.172.249.19",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:33:46","203.205.53.153",5900,"static.cmcti.vn",45903,"VN","DA NANG","DA NANG",0,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:46","14.226.189.179",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:51","42.112.114.36",5900,,18403,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:53","116.118.32.92",5900,,7602,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:33:53","115.79.240.79",5900,"adsl.viettel.vn",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Apple remote desktop vnc","RFB 003.889"
"2020-08-01 10:33:55","118.70.118.254",5900,,18403,"VN","HA NOI","HANOI",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:55","113.163.216.116",5900,"static.vnpt.vn",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:56","113.161.8.174",5900,"static.vnpt.vn",45899,"VN","THUA THIEN-HUE","HUE",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:56","123.21.32.241",5900,,45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:56","103.249.100.165",5900,,45538,"VN","DONG NAI","BIEN HOA",0,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:56","111.91.235.70",5900,,45896,"VN","HA NOI","HANOI",0,,"VNC protocol 3.3 (locked out)","RFB 003.003|Too many security failures"
"2020-08-01 10:34:06","115.78.116.77",5900,,7552,"VN","DONG NAI","BIEN HOA",517312,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:06","113.160.148.11",5900,"static.vnpt.vn",45899,"VN","VINH PHUC","VINH YEN",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:06","113.161.186.8",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:06","123.27.8.146",5900,"localhost",45899,"VN","HA NOI","HANOI",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:08","113.161.48.164",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:34:08","117.2.19.3",5900,,7552,"VN","KHANH HOA","NHA TRANG",517312,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:34:09","123.25.121.235",5900,"static.vdc.vn",45899,"VN","BAC NINH","BAC NINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:09","113.161.172.132",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:10","113.160.173.52",5900,"static.vnpt.vn",45899,"VN","BAC NINH","BAC NINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:10","14.162.185.214",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:34:12","116.108.25.177",5900,,24086,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:34:14","113.160.224.8",5900,"static.vnpt.vn",45899,"VN","DA NANG","DA NANG",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:34:15","115.75.65.149",5900,,7552,"VN","LONG AN","LONG AN",517312,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:34:49","42.115.89.65",5900,,131178,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:34:51","118.70.104.100",5900,,18403,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:34:53","115.79.195.76",5900,"adsl.viettel.vn",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"RealVNC Personal protocol 4.0","RFB 004.000"
"2020-08-01 10:34:53","118.70.175.240",5900,,18403,"VN","HA NOI","HANOI",517311,,"VNC protocol 3.3 (locked out)","RFB 003.003|Too many security failures"
"2020-08-01 10:34:55","14.241.88.1",5900,"static.vnpt.vn",45899,"VN","VINH PHUC","VINH YEN",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:34:55","113.161.88.210",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:34:57","113.173.66.232",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:57","103.249.100.154",5900,,45538,"VN","DONG NAI","BIEN HOA",0,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:57","14.160.12.30",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:34:57","113.161.78.212",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:57","118.70.125.182",5900,,18403,"VN","HA NOI","HANOI",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:34:59","116.97.117.198",5900,,7552,"VN","HA NOI","HANOI",517312,,"VNC protocol 3.7","RFB 003.007"
"2020-08-01 10:35:01","222.252.13.22",5900,"static.vnpt-hanoi.com.vn",45899,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:35:01","113.176.69.47",5900,"static.vnpt.vn",45899,"VN","DONG NAI","BIEN HOA",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:35:02","103.28.32.97",5900,,135918,"VN","HA NOI","HANOI",0,,,"RFB vf3.008"
"2020-08-01 10:35:02","113.160.232.234",5900,"static.vnpt.vn",45899,"VN","DA NANG","DA NANG",517311,,"Apple remote desktop vnc","RFB 003.889"
