"timestamp","ip","port","hostname","asn","geo","region","city","naics","sic","smb_implant","arch","key"
"2020-08-01 09:45:18","115.74.142.163",445,"adsl.viettel.vn",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:19","115.72.248.103",445,"adsl.viettel.vn",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:45:19","1.53.182.243",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:20","222.252.16.152",445,"static.vnpt-hanoi.com.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:20","1.54.159.86",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:21","14.233.186.199",445,"static.vnpt.vn",45899,"VN","DA NANG","DA NANG",517311,,"N",,
"2020-08-01 09:45:22","171.254.231.207",445,"dynamic-ip-adsl.viettel.vn",7552,"VN","AN GIANG","LONG XUYEN",517312,,"N",,
"2020-08-01 09:45:22","125.212.233.104",445,,38731,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:22","14.252.8.22",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:22","103.24.244.53",445,"v103-24-244-53.hts.vn",131388,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:22","203.162.168.106",445,,45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:22","123.28.39.26",445,,45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:23","203.162.49.134",445,"vsip-sembcorp.com.vn",7643,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:23","113.22.143.96",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:23","123.31.12.96",445,"static.vnpt.vn",135905,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:23","115.73.101.252",445,"adsl.viettel.vn",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:45:23","14.226.103.153",445,"static.vnpt.vn",45899,"VN","HAI PHONG","HAI PHONG",517311,,"N",,
"2020-08-01 09:45:23","42.114.44.137",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:24","113.161.163.3",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:24","14.161.227.110",445,"static.vnpt.vn",45899,"VN","DONG THAP","CAO LANH",517311,,"N",,
"2020-08-01 09:45:24","14.188.71.106",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:24","210.211.124.16",445,,38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:45:24","14.171.253.136",445,"static.vnpt.vn",45899,"VN","QUANG NINH","CAM PHA",517311,,"N",,
"2020-08-01 09:45:24","113.180.238.11",445,"static.vnpt.vn",45899,"VN","SOC TRANG","SOC TRANG",517311,,"N",,
"2020-08-01 09:45:24","45.124.85.91",445,,135905,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:25","113.161.175.134",445,"static.vnpt.vn",45899,"VN","BINH DUONG","DI AN",517311,,"N",,
"2020-08-01 09:45:26","117.6.222.136",445,,7552,"VN","HUNG YEN","HUNG YEN",517312,,"N",,
"2020-08-01 09:45:26","14.186.80.137",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:26","1.53.40.147",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:27","118.69.37.251",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:28","123.19.175.40",445,,45899,"VN","DA NANG","DA NANG",517311,,"N",,
"2020-08-01 09:45:28","171.244.185.64",445,"dynamic-adsl.viettel.vn",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:45:28","101.99.3.222",445,"static.cmcti.vn",38732,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:28","125.212.192.133",445,,38731,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:30","14.186.200.202",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:31","101.99.43.138",445,"static.cmcti.vn",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:45:31","103.254.12.130",445,,56151,"VN","QUANG NGAI","BINH THANH",0,,"N",,
"2020-08-01 09:45:31","210.211.126.165",445,,38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:45:33","14.225.11.85",445,"static.vnpt.vn",135905,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:33","125.212.196.251",445,,38731,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:34","23.91.108.4",445,,21859,"VN","HO CHI MINH","THANH PHO HO CHI MINH",518210,,"N",,
"2020-08-01 09:45:37","103.48.80.188",445,"sv-80188.bkns.vn",135905,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:38","115.146.126.46",445,"cobra1.host999.net",38732,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:38","27.79.152.26",445,"localhost",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:40","118.71.178.242",445,"ip-address-pool-xxx.fpt.vn",18403,"VN","BAC NINH","BAC NINH",517311,,"N",,
"2020-08-01 09:45:42","103.116.105.14",445,,63731,"VN","HA NOI","HANOI",812112,,"N",,
"2020-08-01 09:45:43","14.248.131.49",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:43","14.231.176.105",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:43","103.116.105.2",445,,63731,"VN","HA NOI","HANOI",812112,,"N",,
"2020-08-01 09:45:46","14.241.227.155",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:46","103.200.23.32",445,,135905,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:45:50","118.69.205.200",445,"ns5.hostnhanh.com",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:51","14.160.33.198",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:51","103.88.123.2",445,,135909,"VN","BINH DUONG","DI AN",0,,"N",,
"2020-08-01 09:45:51","14.187.237.208",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:51","125.212.254.181",445,,3873,"VN","BA RIA-VUNG TAU","VUNG TAU",517312,,"N",,
"2020-08-01 09:45:52","115.79.214.12",445,,7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:45:53","210.245.20.220",445,"mail.integration.vn",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:53","1.55.128.64",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:53","123.31.43.254",445,,45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:53","115.74.214.82",445,"adsl.viettel.vn",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:53","116.212.37.51",445,,55322,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:53","113.181.24.190",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:54","210.211.101.113",445,,38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:45:54","125.212.229.118",445,,38731,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:55","115.73.220.104",445,"adsl.viettel.vn",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:45:56","222.253.203.164",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:56","210.211.98.87",445,,38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
