timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,programs,mountd_port,exports,sector
8/1/2020 6:35,103.56.157.242,udp,111,,portmapper,45899,VN,HA NOI,HANOI,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,103.221.221.109,udp,111,,portmapper,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,103.152.165.9,udp,111,,portmapper,38732,VN,HA GIANG,VINH PHUC,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,150.95.108.26,udp,111,,portmapper,131392,VN,HA NOI,HANOI,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,45.122.223.171,udp,111,,portmapper,56150,VN,HA NOI,HANOI,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 53321/udp; 100024 1 56583/udp; 100021 1 53843/udp; 100021 3 53843/udp; 100021 4 53843/udp; 100021 1 39375/udp; 100021 3 39375/udp; 100021 4 39375/udp;,,,Communications
8/1/2020 6:35,103.130.58.106,udp,111,103.130.58.106.horizon.vn,portmapper,135905,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,210.245.27.15,udp,111,,portmapper,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,112.197.116.1,udp,111,,portmapper,45543,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 2 111/udp; 100000 2 111/udp; 939524256 1 10145/udp; 939524256 2 10145/udp; 939524111 1 10015/udp; 939524111 2 10015/udp; 939524107 1 10011/udp; 939524107 2 10011/udp; 939524098 1 10002/udp; 939524098 2 10202/udp; 939524275 2 10152/udp; 939524101 1 10005/udp; 939524101 2 10005/udp; 939524115 1 10019/udp; 939524115 2 10019/udp; 939524115 0 10019/udp; 939524109 1 10013/udp; 939524109 2 10013/udp; 939524146 1 50045/udp; 939524146 2 50045/udp; 939524110 1 10014/udp; 939524110 2 10014/udp; 939524179 1 50520/udp; 939524179 2 50520/udp; 939524178 1 10082/udp; 939524178 2 10082/udp; 939524241 1 43636/udp; 939524273 1 10148/udp; 939524177 1 55534/udp; 939524177 2 55534/udp; 939524112 1 10016/udp; 939524106 2 10016/udp; 939524129 1 10033/udp; 939524129 2 10033/udp; 939524274 1 10150/udp; 939524274 2 10150/udp; 939524132 1 10036/udp; 939524132 2 10036/udp; 939524240 1 48807/udp; 939524240 2 48807/udp; 939524130 1 10034/udp; 939524130 2 10034/udp; 939528243 2 10053/udp; 939524147 1 10051/udp; 939524272 1 10147/udp; 939524272 2 10147/udp; 536871041 1 10300/udp; 536871041 2 10300/udp;,,,Communications
8/1/2020 6:35,27.3.205.1,udp,111,,portmapper,45543,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 2 111/udp; 100000 2 111/udp; 939524256 1 10145/udp; 939524256 2 10145/udp; 939524111 1 10015/udp; 939524111 2 10015/udp; 939524107 1 10011/udp; 939524107 2 10011/udp; 939524098 1 10002/udp; 939524098 2 10202/udp; 939524101 1 10005/udp; 939524101 2 10005/udp; 939524275 2 10152/udp; 939524115 1 10019/udp; 939524115 2 10019/udp; 939524115 0 10019/udp; 939524146 1 46105/udp; 939524146 2 46105/udp; 939524109 1 10013/udp; 939524109 2 10013/udp; 939524110 1 10014/udp; 939524110 2 10014/udp; 939524179 1 55484/udp; 939524179 2 55484/udp; 939524178 1 10082/udp; 939524178 2 10082/udp; 939524241 1 54894/udp; 939524273 1 10148/udp; 939524177 1 55946/udp; 939524177 2 55946/udp; 939524240 1 50913/udp; 939524240 2 50913/udp; 939524274 1 10150/udp; 939524274 2 10150/udp; 939524129 1 10033/udp; 939524112 1 10016/udp; 939524129 2 10033/udp; 939524106 2 10016/udp; 939524132 1 10036/udp; 939524132 2 10036/udp; 939524130 1 10034/udp; 939524130 2 10034/udp; 939528243 2 10053/udp; 939524147 1 10051/udp; 939524272 1 10147/udp; 939524272 2 10147/udp; 536871041 1 10300/udp; 536871041 2 10300/udp;,,,Communications
8/1/2020 6:35,103.221.222.10,udp,111,,portmapper,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 18413/udp; 100024 1 8505/udp;,,,Communications
