timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,git_sha1,git_dirty_flag,build_id,mode,os,architecture,multiplexing_api,gcc_version,process_id,run_id,uptime,connected_clients,sector
8/1/2020 19:28,119.82.135.237,tcp,6379,static.cmcti.vn,redis,6.0.5,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,db63ea56716d515f,standalone,Linux 3.10.0-957.el7.x86_64 x86_64,,epoll,8.3.0,1,a2079eb4ffee1c9728fa40600e6cf71ee24c8c22,2383236,1,Communications
8/1/2020 19:28,103.56.156.147,tcp,6379,,redis,5.0.5,45899,VN,HA NOI,HANOI,0,,0,0,24f9cd9802bc0a06,standalone,Linux 4.4.0-179-generic x86_64,,epoll,6.3.0,1,b4d8bb62ea01a513c4c56d2f3aa52d38b78bcdb1,4611385,1,Communications
8/1/2020 19:28,45.117.169.181,tcp,6379,mx169181.superdata.vn,redis,6.0.1,45544,VN,HA NOI,HANOI,0,,0,0,4935af324665042b,standalone,Linux 4.15.0-22-generic x86_64,,epoll,8.3.0,1,adae04db4536f862d47162493be79bc84e0a2e3d,216873,39,Communications
8/1/2020 19:28,202.134.19.57,tcp,6379,static.cmcti.vn,redis,5.0.3,45903,VN,HA NOI,HANOI,0,,0,0,b67e011aea7b1f55,standalone,Linux 4.4.0-53-generic x86_64,,epoll,5.4.0,1487,201538edbeba7126766d03100a294ea7e0ef8183,28154123,24,Communications
8/1/2020 19:28,103.150.0.54,tcp,6379,,redis,6.0.5,135902,VN,HA NOI,HANOI,0,,0,0,db63ea56716d515f,standalone,Linux 5.3.0-51-generic x86_64,,epoll,8.3.0,1,0d9fcdd85acf26dabd94c0e5bec9e45ed07fc317,1531511,9,Communications
8/1/2020 19:28,1.53.252.211,tcp,6379,,redis,6.0.6,18403,VN,DA NANG,DA NANG,517311,,0,0,97204d6a2bf74d2c,standalone,Linux 4.4.0-178-generic x86_64,,epoll,8.3.0,1,fd982178aac3c5a0097d802fe974e21dcd33c4c2,30845,8,Communications
8/1/2020 19:28,210.245.83.66,tcp,6379,,redis,6.0.6,18403,VN,HA NOI,HANOI,517311,,0,0,97204d6a2bf74d2c,standalone,Linux 3.10.0-1127.13.1.el7.x86_64 x86_64,,epoll,8.3.0,1,99f90fcd4d99c77dfd6d2316a84fee5bbedcdc29,206389,1,Communications
8/1/2020 19:28,203.171.20.70,tcp,6379,static.cmcti.vn,redis,3.0.504,45903,VN,HA NOI,HANOI,0,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,2036,0507db3f051487dea282b0c81caf22feb9597cba,1600950,4,Communications
8/1/2020 19:28,14.241.38.4,tcp,6379,static.vnpt.vn,redis,3.0.504,45899,VN,BAC NINH,BAC NINH,517311,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,3104,7418f44a09a76b3959e4b9f52eb8048e862e46ff,498868,3,Communications
8/1/2020 19:29,103.21.150.73,tcp,6379,,redis,2.8.4,38732,VN,HA NOI,HANOI,0,,0,0,645b61b5aa39f6b1,standalone,Linux 3.16.0-30-generic x86_64,,epoll,4.8.4,5772,0bb270c20cc1f1b39135a03175d859894ee5b5a8,9741892,46,Communications
8/1/2020 19:29,150.95.109.81,tcp,6379,v150-95-109-81.a00b.g.han1.static.cnode.io,redis,3.0.504,131392,VN,HA NOI,HANOI,0,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,1108,6fb7280a5139d9460e1e28922a531f51050cc502,34027109,95,Communications
