timestamp,ip,protocol,port,hostname,asn,geo,region,city,version,clk_wander,clock,error,frequency,jitter,leap,mintc,noise,offset,peer,phase,poll,precision,processor,refid,reftime,rootdelay,rootdispersion,stability,state,stratum,system,tai,tc,naics,sic,sector
8/1/2020 3:38,171.231.196.116,udp,123,dynamic-ip-adsl.viettel.vn,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p3@1.2290 Fri Mar 11 21:07:15 UTC 2016 (52),0,0xe2d00a86.388a37eb,,0,0,0,3,,0,,,,-14,armv5tel,127.127.1.0,0xe2d00a57.cb0396f2,0,11.738,,,6,Linux/3.3.0,,6,517312,,Communications
8/1/2020 3:38,14.241.232.4,udp,123,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.0-a Wed Sep 19 18:02:02  2018 (1),,0xe2cf6136.e54f82c1,,-45.844,15.103,0,,,-13.138,,,6,-19,octeon,130.16.0.1,0xe2a2b3c9.353e6924,4.777,43952.14,28.101,4,11,JUNOS15.1X49-D150.2,,,517311,,Communications
8/1/2020 3:38,27.71.161.188,udp,123,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p5@1.2349 Tue Aug 23 03:53:16 UTC 2016 (42),0,0xe2cf6241.c1fe128f,,0,0,0,3,,0,,,,-15,armv7l,127.127.1.0,0xe2cf6239.a4f05f79,0,11.077,,,3,Linux/3.10.0,,6,517312,,Communications
8/1/2020 3:38,27.68.230.101,udp,123,localhost,7552,VN,HA NOI,HANOI,4,,0xe2cf6244.61c25271,,-37.037,0.977,0,,0.985,-0.292,,,10,-10,unknown,192.168.181.50,0xe2cf5f90.678491ec,3.167,53.993,0.023,4,3,UNIX,,,517312,,Communications
8/1/2020 3:38,171.248.115.136,udp,123,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p3@1.2290 Wed May 30 10:05:10 UTC 2018 (58),0,0xe2cf6297.98fb48d2,,0,0,0,3,,0,,,,-15,armv7l,127.127.1.0,0xe2cf6290.99f5a75d,0,11.077,,,6,Linux/3.18.20,,6,517312,,Communications
8/1/2020 3:38,113.173.130.46,udp,123,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p3@1.2290 Mon Oct  8 09:11:14 UTC 2018 (68),0,0xe2cf6248.dc78d77f,,0,0,0,3,,0,,,,-14,armv7l,127.127.1.0,0xe2cf620f.76783267,0,11.903,,,6,Linux/3.18.20,,6,517311,,Communications
8/1/2020 3:38,101.53.36.113,udp,123,ci53.36-113.netnam.vn,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0,0xE2CF624A.354220D7,,0,0,0,3,,0,,,,-21,unknown,202.151.175.18,0xE2CF2598.2F871106,0,0,,,4,UNIX,,10,0,,Communications
8/1/2020 3:38,222.253.153.237,udp,123,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p5@1.2349 Mon Dec  2 09:52:06 UTC 2013 (37),0,0xe2cf60a0.dd658381,,0,0,0,3,,0,,,,-15,armv7l,127.127.1.0,0xe2cf6092.29e4d5c5,0,11.152,,,3,Linux/3.0.8,,6,517311,,Communications
8/1/2020 3:38,42.119.53.125,udp,123,,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p5@1.2349 Mon Dec  2 09:52:06 UTC 2013 (37),0,0xe2cf6250.081dd986,,0,0,0,3,,0,,,,-15,armv7l,127.127.1.0,0xe2cf621e.74a40df9,0,11.707,,,3,Linux/3.0.8,,6,517311,,Communications
8/1/2020 3:38,101.53.9.245,udp,123,,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xE2CF6252.08B8A73B,,-96.205,0.182,0,,0.402,-1.018,,,10,-24,unknown,202.151.175.18,0xE2CF61A7.4BD113CF,39.622,69.765,0.012,4,4,UNIX,,,0,,Communications
8/1/2020 3:39,203.113.129.192,udp,123,,7552,VN,HA NOI,HANOI,4,,0xe2cf6254.c48bc1f7,,-37.037,0.977,0,,0.985,-0.292,,,10,-10,unknown,192.168.181.50,0xe2cf5f90.678491ec,3.167,54.248,0.023,4,3,UNIX,,,517312,,Communications
8/1/2020 3:39,182.237.20.82,udp,123,,55309,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xE2CF61E6.FCA04837,,0,0,3,,0,0,,,6,-24,unknown,INIT,0x00000000.00000000,0,99999.999,0,1,16,UNIX,,,0,,Communications
8/1/2020 3:39,14.162.157.186,udp,123,,45899,VN,HA NOI,HANOI,ntpd 4.2.6p3@1.2290 Fri Mar 11 20:26:06 UTC 2016 (51),0,0xe2d0152b.935af6d3,,0,0,0,3,,0,,,,-14,armv7l,127.127.1.0,0xe2d0151d.056277ae,0,11.258,,,6,Linux/3.10.0,,6,517311,,Communications
8/1/2020 3:39,101.53.4.70,udp,123,ci53.4-70.netnam.vn,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0,0xE2CF6259.44771078,,0,0,0,3,,0,,,,-21,unknown,121.244.196.46,0xE2CF4EA4.68F0084D,0,0,,,4,UNIX,,10,0,,Communications
8/1/2020 3:39,14.232.160.18,udp,123,,45899,VN,HA NOI,HANOI,4,0,0xE2CF6262.0B41688F,,189.585,0,3,3,,0,,,,-21,unknown,INIT,0x00000000.00000000,0,99999.999,,,16,UNIX,,3,517311,,Communications
8/1/2020 3:39,103.253.88.1,udp,123,,131396,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0,0xE2CF6264.7126EAB0,,0,0,0,3,,0,,,,-10,unknown,45.125.1.20,0xE2CF60B8.8ED91810,0,0,,,4,UNIX,,10,0,,Communications
8/1/2020 3:39,103.10.215.193,udp,123,,131343,VN,HA NOI,HANOI,4,,0xE2CF6264.7D089F53,,0.579,2.39,0,,4.703,-21.945,,,10,-16,unknown,10.1.46.51,0xE2CF6102.1C38C560,117.506,129.153,0.166,4,4,UNIX,,,0,,Communications
