"timestamp","ip","protocol","port","hostname","tag","version","asn","geo","region","city","naics","sic"
"2020-08-01 11:01:50","117.6.114.237","tcp",4899,,"radmin","Radmin (Details Unknown)",7552,"VN","HA NOI","HANOI",517312,
"2020-08-01 11:01:51","117.7.18.9","tcp",4899,"localhost","radmin","Radmin v3.X Radmin Authentication",7552,"VN","BAC GIANG","BAC GIANG",517312,
"2020-08-01 11:01:52","183.91.3.177","tcp",4899,"static.cmcti.vn","radmin","Radmin v3.X Radmin Authentication",45903,"VN","HA NOI","HANOI",0,
"2020-08-01 11:02:41","113.162.247.231","tcp",4899,"dynamic.vdc.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","LANG SON","LANG SON",517311,
"2020-08-01 11:02:41","113.170.128.144","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","TAY NINH","TAY NINH",517311,
"2020-08-01 11:02:42","117.6.112.229","tcp",4899,,"radmin","Radmin v3.0 Windows",7552,"VN","HUNG YEN","HUNG YEN",517312,
"2020-08-01 11:02:46","115.75.80.124","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7552,"VN","AN GIANG","LONG XUYEN",517312,
"2020-08-01 11:02:51","14.251.253.102","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 11:03:11","221.133.17.11","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7602,"VN","HA NOI","HANOI",0,
"2020-08-01 11:03:11","14.166.192.191","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 11:03:31","117.7.30.13","tcp",4899,"localhost","radmin","Radmin v3.X Radmin Authentication",7552,"VN","BAC GIANG","BAC GIANG",517312,
