"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","anonymous_access","raw_response","hex_code","code"
"2020-08-01 19:11:43","27.71.234.149","tcp",1883,,"mqtt",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:45","61.28.225.173","tcp",1883,,"mqtt",38244,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:45","113.182.137.20","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","BEN TRE","BEN TRE",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:51","14.160.176.201","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","CAN THO","CAN THO",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:12:11","171.224.65.157","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:12:17","183.80.25.80","tcp",1883,,"mqtt",18403,"VN","HA NOI","HANOI",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:12:28","116.107.119.6","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:12:29","116.99.195.35","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",24086,"VN","KHANH HOA","NHA TRANG",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:12:30","171.243.83.194","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",7552,"VN","KHANH HOA","NHA TRANG",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:12:30","118.70.98.47","tcp",1883,,"mqtt",18403,"VN","HAI PHONG","HAI PHONG",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:12:30","171.249.147.240","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:12:30","103.148.255.19","tcp",1883,,"mqtt",18403,"VN","HA NOI","HANOI",0,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:12:30","116.108.205.201","tcp",1883,,"mqtt",24086,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:12:31","116.97.215.88","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",24086,"VN","QUANG BINH","DONG HOI",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:12:31","117.5.55.97","tcp",1883,"localhost","mqtt",7552,"VN","HA NOI","HANOI",517312,,"Y",20020000,00,"Connection Accepted"
